Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre,Loudness_dB
I'm Not the One,The Cars,1981,254000,4,0.6265182186234818,0.4664142829584035,4,0.750010356684204,0,0.03242105263157895,0.17670600070883605,0.0009260385005065856,0.05012200081333875,0.22851365015166836,79.032,39,Rock,-11.15
Maybe Baby,The Cars,1981,303000,4,0.5789473684210525,0.630594503586587,7,0.6596793570570447,1,0.0343157894736842,0.09889467760509801,0.40932117527862216,0.5465636437576251,0.6268958543983822,138.675,15,Rock,-15.511
Fine Line,The Cars,1987,323000,4,0.6244939271255061,0.33727252404964936,9,0.6579394341107752,0,0.031157894736842107,0.631525734463589,0.018338399189463023,0.07838552257015045,0.29322548028311424,128.051,24,Rock,-15.595
Blue Tip,The Cars,2011,193000,4,0.8137651821862348,0.783762636245807,1,0.8782675338663574,1,0.03505263157894737,0.018272106698902307,0.057244174265450865,0.06201708011386744,0.974721941354904,136.038,26,Rock,-4.958
Drag On Forever,The Cars,2011,218000,4,0.5495951417004049,0.7937736253085012,1,0.8404034964165873,0,0.026526315789473683,0.000513052723948518,2.4316109422492404e-05,0.26392842618950796,0.7229524772497472,95.985,11,Rock,-6.786
Too Late,The Cars,2011,242000,4,0.742914979757085,0.8318153837467388,11,0.872861344711877,0,0.03147368421052631,0.026705850106275207,0.039209726443769,0.05327368849125661,0.8837209302325582,117.991,25,Rock,-5.219
Natural Thing,The Doobie Brothers,1973,198000,4,0.6852226720647774,0.5805395582731163,2,0.7899250176063631,1,0.03326315789473684,0.5401601808837159,1.408308004052685e-06,0.058153721024806836,0.7209302325581395,131.752,35,Rock,-9.223
Black Water,The Doobie Brothers,1974,255000,4,0.5384615384615385,0.44138681030166815,2,0.7144662164961266,1,0.045684210526315785,0.22891488846876354,0.0,0.07340382269215127,0.6774519716885744,169.275,61,Rock,-12.866
Precis,The Doobie Brothers,1975,59000,3,0.5910931174089068,0.012215709183971246,2,0.391896930278802,0,0.08157894736842104,0.9748995731923427,0.5835866261398176,0.12769418462789753,0.26592517694641055,95.586,16,Rock,-28.439
What a Fool Believes,The Doobie Brothers,1978,223000,4,0.7672064777327935,0.37831757920669523,8,0.6638841708438626,0,0.04726315789473684,0.2851398445179162,0.0,0.03721024806832046,0.9959555106167847,120.736,73,Rock,-15.308
Need A Little Taste Of Love,The Doobie Brothers,1989,245000,4,0.6123481781376519,0.9199120874984471,9,0.807552094121546,1,0.052947368421052625,0.0003825305045486994,0.0014083080040526849,0.0453436356242375,0.8493427704752275,115.006,21,Rock,-8.372
Nobody,The Doobie Brothers,2010,275000,4,0.5536437246963564,0.84683186734078,7,0.8488752640954472,1,0.03536842105263158,0.06405528519606948,0.07882472137791287,0.2456283041886946,0.3367037411526795,116.987,14,Rock,-6.377
South City Midnight Lady (with Jerrod Niemann),The Doobie Brothers,2014,286000,4,0.5455465587044535,0.5665241735853446,5,0.8398442354695721,1,0.026105263157894736,0.044778157407788566,0.00032117527862208714,0.1653111020740138,0.23356926188068758,110.018,17,Rock,-6.813
Just Can't Do This Alone,The Doobie Brothers,2021,198000,4,0.5748987854251012,0.9038945049981365,11,0.8516508554621153,0,0.03242105263157895,0.0003393577704395286,0.005086119554204661,0.25376169174461166,0.7593528816986855,103.982,17,Rock,-6.243
End of the Night,The Doors,1967,170000,4,0.4149797570850202,0.2181417542035893,11,0.7211359211234931,0,0.030842105263157893,0.9056223952032082,0.0004012158054711246,0.12464416429442862,0.07633973710819009,72.081,49,Rock,-12.544
The End,The Doors,1967,703000,4,0.3512145748987854,0.3022340623302199,0,0.7302498032230001,1,0.03063157894736842,0.1636537787688542,9.290780141843973e-05,0.1297275315168768,0.03356926188068757,105.702,58,Rock,-12.104
Spanish Caravan,The Doors,1968,178000,4,0.38461538461538464,0.38832856826938933,4,0.6470027755913667,0,0.04347368421052632,0.28915591280714137,0.01773049645390071,0.31476209841398944,0.2679474216380182,139.206,50,Rock,-16.123
Peace Frog,The Doors,1970,170000,4,0.6487854251012146,0.7256988996821812,7,0.8281826090558847,1,0.04105263157894737,0.1606417275519353,0.0032522796352583592,0.6461976413176088,0.8169868554095047,112.529,68,Rock,-7.376
Queen of the Highway,The Doors,1970,167000,4,0.6690283400809717,0.5955560418671575,5,0.7824889183479018,0,0.038947368421052626,0.6074293247282377,0.0006757852077001013,0.07767385115900773,0.704752275025278,125.095,49,Rock,-9.582
It Slipped My Mind,The Doors,1972,190000,4,0.6730769230769231,0.4423879092079376,4,0.7003604126102987,0,0.03305263157894736,0.5431722321006347,0.5896656534954408,0.14497763318422122,0.8270980788675429,128.808,24,Rock,-13.547
Black Polished Chrome,The Doors,1978,67000,4,0.5708502024291497,0.5024538435841023,2,0.7268113840672771,1,0.06536842105263158,0.14156540317811564,0.00021073961499493415,0.26901179341195613,0.7158746208291203,138.428,46,Rock,-12.27
Truth Hits Everybody,The Police,1978,174000,4,0.44129554655870445,0.9399340656238352,9,0.8425576867310163,1,0.06473684210526315,0.04307132838486786,0.0007426545086119555,0.21004473363155754,0.6309403437815976,164.814,43,Rock,-6.682
Depending On You,The Rolling Stones,1964,156000,4,0.5101214574898786,0.6786472510875188,2,0.7659596503583412,1,0.03852631578947368,0.008683743658377168,0.0,0.06923546156974379,0.9635995955510617,140.615,27,Rock,-10.38
Angie - Live,The Rolling Stones,1965,125000,4,0.5404858299595142,0.511463733740527,1,0.7602013339409255,1,0.03863157894736842,0.11847301051507081,1.8439716312056736e-05,0.27612850752338347,0.3943377148634985,159.587,18,Rock,-10.658
Concert Intro Music - Live,The Rolling Stones,1965,151000,4,0.75,0.8728604389037847,4,0.7966568623389536,1,0.07484210526315789,0.02118375620859057,2.9483282674772037e-05,0.06760878405856038,0.9332659251769465,107.706,23,Rock,-8.898
Dead Flowers - Live,The Rolling Stones,1965,218000,4,0.7560728744939271,0.45440109608317053,11,0.7581299971001285,0,0.03442105263157894,0.09387459224356652,0.22188449848024316,0.1073607157381049,0.9191102123356927,98.995,36,Rock,-10.758
Not Fade Away - Mono,The Rolling Stones,1965,135000,4,0.5738866396761133,0.5665241735853446,7,0.7820746509797424,1,0.051789473684210524,0.5010035150637702,0.26545086119554206,0.5506303375355837,0.7724974721941356,98.307,23,Rock,-9.602
"Paint It,Black",The Rolling Stones,1965,133000,4,0.1902834008097166,0.8718593399975153,4,0.8618211193504288,1,0.060315789473684205,0.0064849462700263755,0.7892603850050659,0.2934119560797072,0.5409504550050557,169.661,18,Rock,-5.752
Brown Sugar - Live At The El Mocambo 1977,The Rolling Stones,1967,519000,4,0.46659919028340086,0.8628494498410906,8,0.7761299142466549,1,0.11578947368421053,0.7459836807065068,0.04559270516717325,0.09516063440422935,0.13953488372093026,125.964,16,Rock,-9.889
Going To A Go-Go - Live,The Rolling Stones,1967,137000,4,0.7004048582995951,0.6816505478063271,0,0.7890550561332283,1,0.03663157894736842,0.4417665077976986,1.347517730496454e-05,0.08682391215941439,0.8493427704752275,117.518,24,Rock,-9.265
Little T&A - Remastered 2021,The Rolling Stones,1968,278000,4,0.3532388663967611,0.8318153837467388,2,0.8478810224118647,1,0.05399999999999999,0.003111448907077216,0.009675785207700101,0.07706384709231394,0.4368048533872599,104.748,40,Rock,-6.425
Slave - Remastered 2021,The Rolling Stones,1968,171000,4,0.6366396761133604,0.5975582396796963,1,0.7925763287625833,0,0.05789473684210526,0.43373437121924824,0.007355623100303952,0.11752745018300123,0.09453993933265925,108.413,37,Rock,-9.095
Angie - Giles Martin 2020 Mix,The Rolling Stones,1976,268000,4,0.6275303643724697,0.8228054935903141,0,0.8961017440656199,1,0.029052631578947365,0.07007938762990727,0.0761904761904762,0.24054493696624643,0.7199191102123357,116.069,38,Rock,-4.097
Dancing With Mr D,The Rolling Stones,1978,187000,4,0.4574898785425101,0.9909901098435753,9,0.9224905754173744,1,0.05505263157894737,0.1234930958766023,0.8966565349544073,0.056222041480276534,0.884732052578362,152.096,40,Rock,-2.823
Dancing With Mr D - Instrumental,The Rolling Stones,1978,276000,4,0.47874493927125505,0.9399340656238352,9,0.9262189817308091,1,0.08989473684210526,0.5240959077268151,0.5217831813576495,0.29137860919072794,0.519716885743175,72.548,43,Rock,-2.643
You Got Me Rocking - Live,The Rolling Stones,1981,392000,4,0.5718623481781376,0.8618483509348212,9,0.8483988566220639,1,0.04526315789473684,0.11646497637045822,0.3069908814589666,0.03751525010166734,0.8513650151668352,133.23,43,Rock,-6.4
Ride 'Em On Down,The Rolling Stones,1983,304000,4,0.631578947368421,0.7757538449956517,0,0.7930113094991508,1,0.04589473684210526,0.1606417275519353,0.723404255319149,0.373729158194388,0.8291203235591507,114.445,16,Rock,-9.074
Roll Over Beethoven - Saturday Club / 1963,The Rolling Stones,1997,413000,4,0.5506072874493928,0.3142472492054528,9,0.7573636024690336,1,0.027684210526315787,0.7078310319588674,0.006980749746707194,0.18971126474176495,0.16885743174924167,139.888,26,Rock,-10.795
Oh! Baby (We Got A Good Thing Goin’) - Saturday Club / 1965,The Rolling Stones,2005,226000,4,0.48582995951417,0.9849835164059588,7,0.9331165334106633,1,0.09852631578947368,0.011946799143372636,0.0,0.3025620170801139,0.5005055611729019,140.4,22,Rock,-2.31
Bitch - Live,The Rolling Stones,2023,239000,4,0.5546558704453441,0.9819802196871505,4,0.9077426571108994,0,0.05073684210526316,0.0019769096153710998,3.799392097264438e-06,0.05754371695811306,0.8887765419615774,127.292,42,Rock,-3.535
Tumbling Dice - Live,The Rolling Stones,2023,161000,4,0.5779352226720648,0.24717362248540223,2,0.8208915033762791,1,0.036421052631578944,0.9427710268785411,0.3454913880445796,0.09007726718178122,0.4833164812942366,90.325,41,Rock,-7.728
A Legal Matter - Mono Version,The Who,1965,168000,4,0.5617408906882592,0.7637406581204188,9,0.8357844152616098,1,0.02852631578947368,0.7660640221526328,2.09726443768997e-06,0.3300122000813339,0.8948432760364005,103.63,9,Rock,-7.009
Please Please Please - Mono Version,The Who,1965,165000,4,0.6467611336032388,0.5304846129596458,9,0.8192137205352334,1,0.03157894736842105,0.26907557136101545,0.0,0.14396095973973158,0.8523761375126391,95.716,8,Rock,-7.809
I've Been Away,The Who,1966,128000,3,0.5809716599190283,0.6416065915555506,7,0.8095820042255272,1,0.03789473684210526,0.28915591280714137,0.0,0.13379422529483528,0.8048533872598586,178.844,8,Rock,-8.274
"My Generation / Land Of Hope And Glory - ""Ready Steady Go"" Live Version",The Who,1966,125000,4,0.23279352226720648,0.6285923057740481,1,0.8846886780728282,1,0.04031578947368421,0.11244890808123303,9.280648429584601e-05,0.08397722651484343,0.5935288169868554,99.514,7,Rock,-4.648
Do You Think It's Alright?,The Who,1969,24000,4,0.5576923076923077,0.3993406562383529,0,0.7931355897095986,1,0.04673684210526316,0.029215892787040953,0.0,0.07340382269215127,0.2366026289180991,132.833,1,Rock,-9.068
Overture,The Who,1969,320000,4,0.4888663967611336,0.6175802178050847,0,0.7637226065702805,1,0.03673684210526316,0.05592274691038847,0.7001013171225937,0.13277755185034565,0.18705763397371084,118.105,26,Rock,-10.488
There's A Doctor,The Who,1969,23000,4,0.8218623481781377,0.3192527437367999,5,0.7540287501553503,1,0.037684210526315785,0.6777105197896787,0.0,0.06872712484749897,0.9858442871587462,90.098,1,Rock,-10.956
Won't Get Fooled Again - Remastered 2022,The Who,1971,514000,4,0.6831983805668017,0.8848736257790176,9,0.8182609055884669,1,0.03989473684210527,0.25903540063795244,0.3556231003039514,0.04961366409109394,0.28311425682507585,134.717,27,Rock,-7.855
Success Story,The Who,1975,200000,4,0.5890688259109311,0.9058967028106754,7,0.8197729814822486,1,0.04536842105263158,0.20682651287802498,1.4893617021276596e-05,0.05530703538023587,0.7118301314459049,137.658,20,Rock,-7.782
They Are All In Love,The Who,1975,180000,3,0.3188259109311741,0.5975582396796963,2,0.7695430630929202,1,0.032842105263157895,0.21586266652878167,0.00047213779128672746,0.17039446929646196,0.5247724974721941,152.235,20,Rock,-10.207
Pick Up The Peace,The Who,2006,88000,4,0.5728744939271254,0.9339274721862189,4,0.9226977091014541,0,0.03631578947368421,0.026906653520736467,3.9007092198581565e-06,0.15514436762911754,0.4246713852376138,131.84,7,Rock,-2.813
Lady Samantha,Three Dog Night,1969,174000,4,0.24392712550607287,0.6726406576499023,10,0.8384357264178302,0,0.04294736842105263,0.4809231736176442,1.9959473150962518e-06,0.07970719804798698,0.5500505561172903,168.836,13,Rock,-6.881
I Can Hear You Calling - Single Version,Three Dog Night,1970,179000,4,0.6902834008097166,0.5565131845226505,9,0.7270806578565807,1,0.04347368421052632,0.41365402977312227,0.001661600810536981,0.5191134607564051,0.9777553083923155,90.032,23,Rock,-12.257
Mama Told Me (Not To Come) - Single Version,Three Dog Night,1970,198000,4,0.6811740890688259,0.6736417565561718,1,0.6921993454575583,1,0.05189473684210526,0.3744973639531767,0.026849037487335362,0.19682797885319234,0.8341759352881698,119.994,60,Rock,-13.941
Sure As I'm Sittin' Here - Single Version,Three Dog Night,1974,286000,4,0.582995951417004,0.8598461531222823,2,0.790732838974274,1,0.04768421052631579,0.012850414508448304,7.689969604863222e-06,0.0610004066693778,0.8088978766430739,135.097,21,Rock,-9.184
Everybody's A Masterpiece,Three Dog Night,1976,167000,4,0.7115384615384615,0.6025637342110435,0,0.762024110360827,1,0.030736842105263156,0.4106419785562034,3.4042553191489363e-06,0.12871085807238716,0.9494438827098078,113.427,5,Rock,-10.57
Under My Thumb,Tina Turner,1975,206000,4,0.7661943319838057,0.7437186799950305,10,0.8391814076805171,1,0.03326315789473684,0.06526010568283704,0.08044579533941236,0.12159414396095974,0.6481294236602629,120.103,14,Rock,-6.845
Fire Down Below,Tina Turner,1978,193000,4,0.687246963562753,0.7557318668702635,9,0.7838560006628278,1,0.06926315789473683,0.0391556618028733,0.005217831813576495,0.15311102074013827,0.9504550050556118,133.941,7,Rock,-9.516
Ball Of Confusion - Remix / Remastered,Tina Turner,1984,251000,4,0.6487854251012146,0.8768648345288623,5,0.8000538547578607,1,0.0491578947368421,0.028211875714734654,0.003860182370820669,0.059475396502643364,0.7745197168857432,165.25,27,Rock,-8.734
I Wrote a Letter - 2015 Remaster,Tina Turner,1984,205000,4,0.575910931174089,0.8698571421849765,9,0.8947139483822859,1,0.03757894736842105,0.0398584737534877,0.0015805471124620061,0.5923139487596584,0.8624873609706775,123.03,26,Rock,-4.164
You Can't Stop Me Loving You,Tina Turner,1989,240000,4,0.6943319838056681,0.868856043278707,11,0.8080077882265214,0,0.08242105263157894,0.1917662567934305,9.777102330293822e-06,0.04666531110207401,0.8837209302325582,91.84,26,Rock,-8.35
Home of the Brave,Toto,1988,408000,4,0.5222672064777328,0.4924428545214082,4,0.6491569659057956,1,0.043789473684210524,0.03413557644134181,0.001043566362715299,0.32797885319235465,0.32153690596562184,155.99,40,Rock,-16.019
Just Can't Get To You,Toto,1995,303000,4,0.6295546558704453,0.5414967009286094,0,0.8320560089481752,1,0.026736842105263156,0.5632525735467607,3.931104356636272e-06,0.17751118340788938,0.3104145601617796,131.931,23,Rock,-7.189
