Song_ID,Track,Artist,Year,Duration,Time_Signature,Key,Mode,Key_String,Camelot_Key,Tempo,Danceability,Energy,Loudness,Loudness_dB,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Popularity,Genre
7487,I’m Coming Out (#5*),Diana Ross,1980,223000,4,11,0,B min,10,116.212,0.8080808080808081,0.6868686868686869,0.32323232323232326,-10.534,0.8080808080808081,0.30303030303030304,0.6060606060606061,0.7171717171717171,0.7878787878787878,1,Pop
7488,It’s My Turn,Diana Ross,1981,196000,4,0,1,C Maj,20,122.96,0.9292929292929293,0.6565656565656566,0.7878787878787878,-5.583,0.5454545454545454,0.41414141414141414,0.47474747474747475,0.23232323232323232,0.9292929292929293,36,Pop
7489,Mirror Mirror,Diana Ross,1982,484000,4,5,0,F min,4,76.899,0.48484848484848486,0.3333333333333333,0.6767676767676768,-6.664,0.5555555555555556,0.5656565656565656,0.1111111111111111,0.26262626262626265,0.40404040404040403,79,Pop
7490,Why Do Fools Fall In Love?,Diana Ross,1982,139000,4,1,1,C#/Db Maj,15,173.586,0.1414141414141414,0.35353535353535354,0.48484848484848486,-8.685,0.8181818181818182,0.7272727272727273,0.3333333333333333,0.2828282828282828,0.8282828282828283,54,Pop
7491,Missing You,Diana Ross,1985,269000,4,11,0,B min,10,208.571,0.43434343434343436,0.3838383838383838,0.3838383838383838,-9.736,0.30303030303030304,0.3333333333333333,0.1111111111111111,0.030303030303030304,0.5050505050505051,68,Pop
7492,Endless Love,Diana Ross & Lionel Richie,1981,268000,4,10,1,A#/Bb Maj,18,93.063,0.25252525252525254,0.10101010101010101,0.20202020202020202,-12.331,0.010101010101010102,0.8585858585858586,0.5454545454545454,0.48484848484848486,0.030303030303030304,56,Pop
7493,Someday We’ll Be Together,Diana Ross & the Supremes,1970,195000,4,4,1,E Maj,24,117.978,0.5757575757575758,0.16161616161616163,0.1717171717171717,-12.986,0.1717171717171717,0.2727272727272727,0.898989898989899,0.3333333333333333,0.030303030303030304,27,Pop
7494,Navy Blue,Diane Renay,1964,171000,3,0,1,C Maj,20,114.921,0.6060606060606061,0.23232323232323232,0.6666666666666666,-6.726,0.0707070707070707,0.6868686868686869,0.1111111111111111,0.5353535353535354,0.29292929292929293,48,Pop
7495,The Mountain’s High,Dick and Dee Dee,1961,126000,4,11,0,B min,10,104.34,0.6262626262626263,0.7575757575757576,0.8383838383838383,-5.065,0.24242424242424243,0.47474747474747475,0.797979797979798,0.7575757575757576,0.6868686868686869,63,Pop
7496,Patches,Dickey Lee,1962,193000,4,4,1,E Maj,24,80.844,0.6262626262626263,0.37373737373737376,0.1717171717171717,-12.843,0.8888888888888888,0.7878787878787878,0.1111111111111111,0.9292929292929293,0.7676767676767676,44,Pop
7497,Rebirth Of Slick (COOL Like Dat),Digable Planets,1993,261000,4,1,0,C#/Db min,12,98.309,0.9797979797979798,0.1414141414141414,0.020202020202020204,-18.944,0.9494949494949495,0.32323232323232326,0.8181818181818182,0.36363636363636365,0.47474747474747475,60,Pop
7498,The Humpty Dance,Digital Underground,1990,391000,4,10,0,A#/Bb min,3,103.508,0.9292929292929293,0.5757575757575758,0.5454545454545454,-8.0,0.9595959595959596,0.2828282828282828,0.1111111111111111,0.45454545454545453,0.5353535353535354,62,Pop
7499,A Rockin’ Good Way (TO Mess Around And Fall In Love),Dinah Washington & Brook Benton,1960,148000,4,8,1,G#/Ab Maj,16,129.911,0.9090909090909091,0.30303030303030304,0.23232323232323232,-11.984,0.6666666666666666,0.9090909090909091,0.5353535353535354,0.6666666666666666,0.9696969696969697,37,Pop
7500,Baby (YOU’VE Got What It Takes),Dinah Washington & Brook Benton,1960,168000,4,3,1,D#/Eb Maj,17,132.297,0.7676767676767676,0.26262626262626265,0.24242424242424243,-11.871,0.40404040404040403,0.9090909090909091,0.5252525252525253,0.9191919191919192,0.797979797979798,48,Pop
7501,I Like It,Dino,1989,253000,4,5,0,F min,4,136.048,0.9393939393939394,0.6262626262626263,0.9292929292929293,-3.998,0.8686868686868687,0.41414141414141414,0.1111111111111111,0.8888888888888888,0.5757575757575758,78,Pop
7502,Romeo,Dino,1990,208000,4,9,0,A min,8,119.761,0.3434343434343434,0.1717171717171717,0.12121212121212122,-13.933,0.7878787878787878,0.8080808080808081,0.8383838383838383,0.8383838383838383,0.2222222222222222,59,Pop
7503,Lonely Teenager,Dion,1961,135000,4,10,1,A#/Bb Maj,18,71.858,0.10101010101010101,0.2727272727272727,0.41414141414141414,-9.412,0.15151515151515152,0.6161616161616161,0.1111111111111111,0.9292929292929293,0.5656565656565656,31,Pop
7504,Runaround Sue,Dion,1961,171000,4,2,1,D Maj,22,79.987,0.1111111111111111,0.45454545454545453,0.3838383838383838,-9.791,0.8686868686868687,0.696969696969697,0.1111111111111111,0.7474747474747475,0.5151515151515151,67,Pop
7505,Lovers Who Wander,Dion,1962,151000,1,0,1,C Maj,20,111.63,0.3434343434343434,0.18181818181818182,0.13131313131313133,-13.637,0.6565656565656566,0.7474747474747475,0.1111111111111111,0.46464646464646464,0.797979797979798,42,Pop
7506,The Wanderer,Dion,1962,168000,4,7,1,G Maj,21,114.04,0.5151515151515151,0.37373737373737376,0.35353535353535354,-10.213,0.45454545454545453,0.6161616161616161,0.1111111111111111,0.26262626262626265,0.8383838383838383,64,Pop
7507,Ruby Baby,Dion,1963,156000,4,4,1,E Maj,24,121.728,0.6363636363636364,0.36363636363636365,0.12121212121212122,-14.049,0.8787878787878788,0.8787878787878788,0.1111111111111111,0.7171717171717171,0.5151515151515151,34,Pop
7508,"Abraham,Martin And John",Dion,1969,200000,4,4,1,E Maj,24,146.945,0.09090909090909091,0.1717171717171717,0.09090909090909091,-14.75,0.3333333333333333,0.6666666666666666,0.48484848484848486,0.7272727272727273,0.26262626262626265,45,Pop
7509,A Teenager in Love,Dion & The Belmonts,1959,158000,4,1,1,C#/Db Maj,15,78.986,0.4444444444444444,0.18181818181818182,0.4444444444444444,-9.123,0.09090909090909091,0.8080808080808081,0.1111111111111111,0.494949494949495,0.5454545454545454,63,Pop
7510,Where Or When,Dion and the Belmonts,1960,203000,4,0,1,C Maj,20,87.281,0.04040404040404041,0.10101010101010101,0.31313131313131315,-10.786,0.26262626262626265,0.9797979797979798,0.8282828282828283,0.30303030303030304,0.06060606060606061,66,Pop
