Song_ID,Track,Artist,Year,Duration,Time_Signature,Key,Mode,Camelot_Key,Tempo,Danceability,Energy,Loudness,Loudness_dB,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Popularity,Genre
22,Them Bones (2022 Remaster),Alice In Chains,1992,149466,1,9,1,23,165.223,0.16194331983805668,0.9549505492178765,0.8736898794481959,-5.179,0.07210526315789474,0.023091388645972537,4.062816616008106e-06,0.36559577063847093,0.339737108190091,70,Alt. Rock
23,Would? (2022 Remaster),Alice In Chains,1992,206773,4,6,1,14,100.127,0.3006072874493927,0.8428274717157023,0.8265048262148391,-7.457,0.05136842105263158,0.00028614486560729483,9.219858156028368e-06,0.0736071573810492,0.5925176946410515,75,Alt. Rock
24,I Stay Away,Alice In Chains,1994,254400,4,6,1,14,81.37,0.17611336032388664,0.7817604384332683,0.8346037532623556,-7.066,0.04273684210526315,0.04538056765117234,0.003505572441742655,0.07096380642537616,0.2790697674418605,62,Alt. Rock
25,No Excuses,Alice In Chains,1994,255573,4,3,1,17,117.454,0.5334008097165992,0.8388230760906247,0.8564149301959485,-6.013,0.034,0.020681747672437422,0.0006281661600810538,0.0585603904026027,0.7290192113245703,64,Alt. Rock
26,Nutshell,Alice In Chains,1994,259200,3,3,0,2,136.136,0.38866396761133604,0.5615186790539977,0.7726086416172999,-10.059,0.031157894736842107,0.3744973639531767,0.25633232016210744,0.0661854412362749,0.16076845298281092,72,Alt. Rock
27,Heaven Beside You,Alice In Chains,1996,327893,4,10,0,3,111.243,0.5576923076923077,0.7246978007759117,0.8341066324205643,-7.09,0.03368421052631579,0.004527112979029096,0.00016919959473150962,0.10532736884912566,0.5652173913043479,61,Alt. Rock
28,Brass Monkey,Beastie Boys,1986,157440,4,6,0,11,116.371,0.9251012145748988,0.5865461517107329,0.8062471519118439,-8.435,0.34736842105263155,0.002037150639709478,1.6008105369807497e-06,0.08824725498169987,0.6622851365015168,66,Alt. Rock
29,Fight For Your Right,Beastie Boys,1986,208653,5,8,1,16,133.615,0.5091093117408907,0.8588450542160129,0.8505530469364928,-6.296,0.0691578947368421,0.0075994052202863665,0.0023708206686930094,0.06903212688084587,0.4236602628918099,69,Alt. Rock
30,No Sleep Till Brooklyn,Beastie Boys,1986,246933,4,8,1,16,97.022,0.7206477732793521,0.6916615368690211,0.8120054683292597,-8.157,0.13473684210526315,0.12248907880429599,0.0,0.04209028060187068,0.750252780586451,70,Alt. Rock
31,Paul Revere,Beastie Boys,1986,220840,4,6,0,11,91.753,0.8937246963562753,0.5535098878038424,0.7068851236588094,-13.232,0.9936842105263157,0.016163670847059084,0.0,0.21919479463196423,0.5844287158746209,57,Alt. Rock
32,Hey Ladies,Beastie Boys,1989,227773,4,1,1,15,101.718,0.9605263157894737,0.7287021964009893,0.7603049007829653,-10.653,0.22210526315789472,0.2871478786625288,0.0,0.03466856445709638,0.8038422649140546,51,Alt. Rock
33,Shake Your Rump,Beastie Boys,1989,198253,4,1,1,15,103.066,0.8987854251012146,0.6996703281191764,0.7650275487799826,-10.425,0.1726315789473684,0.015962867432597824,0.00031003039513677815,0.1002440016266775,0.704752275025278,56,Alt. Rock
34,Sabotage,Beastie Boys,1994,178440,4,6,0,11,168.131,0.32793522267206476,0.9389329667175659,0.8290939972658354,-7.332,0.10736842105263157,0.03212754229672921,0.03252279635258359,0.08509556730378202,0.5490394337714865,74,Alt. Rock
35,Sure Shot,Beastie Boys,1994,199666,4,1,1,15,97.978,0.7004048582995951,0.7997802187461177,0.8168316831683169,-7.924,0.1726315789473684,0.38955762003777117,0.0,0.2934119560797072,0.5551061678463095,58,Alt. Rock
36,Intergalactic,Beastie Boys,1998,210106,4,2,1,22,105.971,0.7398785425101214,0.8818703290602095,0.846244666307635,-6.504,0.29578947368421055,0.010541175242143819,6.393110435663628e-05,0.05124034160227734,0.36501516683518703,52,Alt. Rock
37,Loser,Beck,1994,235000,4,2,1,22,85.387,0.6619433198380567,0.6115736243674681,0.7645097145697834,-10.45,0.12526315789473683,0.03383437131964992,0.00018034447821681864,0.3991459943066288,0.7947421638018201,70,Alt. Rock
